V(V)   ;I(A)   ;P(W)   ; V*(V)  ;I*(A)  ;P*(W)  ;Pm*(W);Voc*(V);Isc*(A);Vm*(V);Im*(A);FF*;Fecha medida;Hora medida;Version Firmware
642.87109;7.67833;4936.17383; 670.76935;14.07439;9440.66602
651.12433;7.67535;4997.60937; 679.03809;14.06894;9553.34473
659.37836;7.67282;5059.29297; 687.30536;14.06430;9666.46680
667.61627;7.67042;5120.89551; 695.55585;14.05989;9779.43750
675.84778;7.66800;5182.39844; 703.80005;14.05545;9892.22754
684.07178;7.66475;5243.24170; 712.04095;14.04951;10003.82520
692.27087;7.66173;5303.99072; 720.25586;14.04396;10115.24512
700.46777;7.65965;5365.34082; 728.46362;14.04016;10227.74609
708.65588;7.65641;5425.75684; 736.66870;14.03421;10338.55957
716.82562;7.65206;5485.18994; 744.86121;14.02623;10447.59766
724.99536;7.64705;5544.07812; 753.05707;14.01706;10555.64844
733.14203;7.64228;5602.87842; 761.22870;14.00832;10663.53320
741.27100;7.63893;5662.51367; 769.37518;14.00216;10772.91699
749.40070;7.63535;5721.93555; 777.52356;13.99561;10881.91504
757.49567;7.63264;5781.68896; 785.63275;13.99064;10991.50195
765.57776;7.63044;5841.69189; 793.72632;13.98660;11101.53418
773.67963;7.62790;5901.55371; 801.84143;13.98196;11211.31543
781.76715;7.62502;5960.99219; 809.94403;13.97668;11320.32812
789.83490;7.62218;6020.26221; 818.02661;13.97147;11429.03223
797.90753;7.61989;6079.96387; 826.11121;13.96727;11538.51465
805.96167;7.61798;6139.79932; 834.17535;13.96377;11648.23340
814.01654;7.61686;6200.25244; 842.23602;13.96172;11759.06641
822.06677;7.61528;6260.27246; 850.29456;13.95883;11869.11816
830.08630;7.61316;6319.57715; 858.32520;13.95493;11977.86816
838.11072;7.61167;6379.42285; 866.35736;13.95221;12087.59766
846.12616;7.60868;6437.90283; 874.38843;13.94672;12194.85449
854.12610;7.60532;6495.90430; 882.40594;13.94057;12301.24219
862.12793;7.60358;6555.25977; 890.41687;13.93738;12410.07715
870.11224;7.60136;6614.03857; 898.41278;13.93331;12517.86621
878.08624;7.60013;6673.57324; 906.39319;13.93106;12627.01758
886.05225;7.59892;6733.04346; 914.36554;13.92884;12736.05273
894.01465;7.59823;6792.92676; 922.33154;13.92756;12845.83203
901.95673;7.59711;6852.26172; 930.27948;13.92551;12954.61719
909.91107;7.59538;6911.12354; 938.24286;13.92235;13062.54785
917.84906;7.59327;6969.47754; 946.19189;13.91848;13169.55469
925.77075;7.59125;7027.76123; 954.12415;13.91478;13276.42969
933.69031;7.58872;7085.51611; 962.05688;13.91014;13382.34766
941.58624;7.58689;7143.70996; 969.96240;13.90678;13489.05469
949.49377;7.58388;7200.85010; 977.88568;13.90127;13593.85547
957.38214;7.57803;7255.07178; 985.80463;13.89055;13693.36426
965.25970;7.57500;7311.84619; 993.69800;13.88500;13797.49316
973.12103;7.57341;7369.84229; 1001.56769;13.88207;13903.83203
980.97876;7.57088;7426.86963; 1009.43860;13.87743;14008.41504
988.82031;7.56752;7482.91895; 1017.29773;13.87128;14111.22266
996.65552;7.56327;7537.97021; 1025.15515;13.86348;14212.21777
1004.49384;7.56081;7594.78369; 1033.00635;13.85897;14316.40723
1012.30481;7.55736;7650.34961; 1040.83533;13.85265;14418.32812
1020.12335;7.55584;7707.88525; 1048.66187;13.84986;14523.82324
1027.90015;7.54991;7760.55713; 1056.46960;13.83901;14620.48828
1035.68433;7.54433;7813.54883; 1064.28296;13.82878;14717.73437
1043.45752;7.53186;7859.17920; 1072.12134;13.80592;14801.62109
1051.19971;7.51781;7902.72314; 1079.93689;13.78017;14881.70898
1058.91345;7.50143;7943.36963; 1087.73633;13.75014;14956.53027
1066.60742;7.47853;7976.65137; 1095.55005;13.70815;15017.96777
1074.24792;7.45547;8009.02393; 1103.31104;13.66589;15077.72949
1081.83862;7.40079;8006.46191; 1111.18750;13.56566;15073.99707
1089.40344;7.38247;8042.48584; 1118.84814;13.53208;15140.33984
1096.93994;7.36917;8083.53662; 1126.45410;13.50770;15215.80664
1104.45264;7.35272;8120.72900; 1134.05273;13.47755;15284.24902
1111.93005;7.30244;8119.80518; 1141.79297;13.38539;15283.34473
1119.27075;7.21163;8071.76807; 1149.60840;13.21893;15196.59668
1126.53772;7.14327;8047.16406; 1157.23267;13.09363;15152.37500
